"","apprehension_date","arrests","TEXAS","WISCONSIN","ILLINOIS","MINNESOTA","OREGON"
"87",2025-08-23,2,NA,3.42857142857143,NA,6.57142857142857,NA
"88",2025-08-23,3,NA,NA,NA,NA,4.57142857142857
"89",2025-08-23,168,240,NA,NA,NA,NA
"90",2025-08-24,10,NA,NA,6.71428571428571,NA,NA
"91",2025-08-24,2,NA,NA,NA,7,NA
"92",2025-08-24,3,NA,3.71428571428571,NA,NA,4
"93",2025-08-24,138,240.428571428571,NA,NA,NA,NA
"94",2025-08-25,7,NA,NA,6.85714285714286,NA,NA
"95",2025-08-25,8,NA,NA,NA,7,NA
"96",2025-08-25,3,NA,4,NA,NA,3.57142857142857
"97",2025-08-25,271,233.428571428571,NA,NA,NA,NA
"98",2025-08-26,5,NA,NA,7,NA,NA
"99",2025-08-26,17,NA,NA,NA,7.71428571428571,NA
"100",2025-08-26,6,NA,NA,NA,NA,3
"101",2025-08-26,249,223.142857142857,NA,NA,NA,NA
"102",2025-08-26,3,NA,4.42857142857143,NA,NA,NA
"103",2025-08-27,13,NA,NA,7,NA,NA
"104",2025-08-27,8,NA,NA,NA,7.57142857142857,NA
"105",2025-08-27,288,218.142857142857,NA,NA,NA,NA
"106",2025-08-27,9,NA,4.42857142857143,NA,NA,NA
"107",2025-08-28,9,NA,NA,5.71428571428571,NA,NA
"108",2025-08-28,7,NA,NA,NA,7.42857142857143,NA
"109",2025-08-28,3,NA,NA,NA,NA,4.14285714285714
"110",2025-08-28,258,215.428571428571,NA,NA,NA,NA
"111",2025-08-28,6,NA,4.14285714285714,NA,NA,NA
"112",2025-08-29,4,NA,NA,5,NA,NA
"113",2025-08-29,10,NA,NA,NA,7,NA
"114",2025-08-29,2,NA,NA,NA,NA,4.42857142857143
"115",2025-08-29,190,193.428571428571,NA,NA,NA,NA
"116",2025-08-29,5,NA,4.28571428571429,NA,NA,NA
"117",2025-08-30,1,NA,NA,5.57142857142857,5.57142857142857,NA
"118",2025-08-30,133,191.428571428571,NA,NA,NA,NA
"119",2025-08-30,2,NA,4.42857142857143,NA,NA,NA
"120",2025-08-31,1,NA,NA,5.42857142857143,NA,NA
"121",2025-08-31,119,192.428571428571,NA,NA,NA,NA
"122",2025-09-01,2,NA,NA,6,NA,NA
"123",2025-09-01,1,NA,3.42857142857143,NA,7.14285714285714,NA
"124",2025-09-01,117,200.571428571429,NA,NA,NA,NA
"125",2025-09-02,9,NA,NA,6.28571428571429,NA,NA
"126",2025-09-02,5,NA,NA,NA,7,NA
"127",2025-09-02,1,NA,NA,NA,NA,4.28571428571429
"128",2025-09-02,235,217.428571428571,NA,NA,NA,NA
"129",2025-09-02,4,NA,2.71428571428571,NA,NA,NA
"130",2025-09-03,12,NA,NA,6.71428571428571,NA,NA
"131",2025-09-03,7,NA,NA,NA,5.71428571428571,NA
"132",2025-09-03,11,NA,NA,NA,NA,3.85714285714286
"133",2025-09-03,295,219,NA,NA,NA,NA
"134",2025-09-03,4,NA,2.42857142857143,NA,NA,NA
"135",2025-09-04,13,NA,NA,7.28571428571429,NA,NA
"136",2025-09-04,19,NA,NA,NA,5.71428571428571,NA
"137",2025-09-04,5,NA,NA,NA,NA,4.28571428571429
"138",2025-09-04,315,217.285714285714,NA,NA,NA,NA
"139",2025-09-04,2,NA,3,NA,NA,NA
"140",2025-09-05,6,NA,NA,7.85714285714286,7.42857142857143,NA
"141",2025-09-05,2,NA,NA,NA,NA,5
"142",2025-09-05,308,228.714285714286,NA,NA,NA,NA
"143",2025-09-05,1,NA,3.71428571428571,NA,NA,NA
"144",2025-09-06,4,NA,NA,8.57142857142857,NA,NA
"145",2025-09-06,1,NA,NA,NA,8.57142857142857,NA
"146",2025-09-06,3,NA,NA,NA,NA,5.28571428571429
"147",2025-09-06,144,238.285714285714,NA,NA,NA,NA
"148",2025-09-07,5,NA,NA,9.14285714285714,NA,NA
"149",2025-09-07,1,NA,NA,NA,9.28571428571429,NA
"150",2025-09-07,107,243,NA,NA,NA,NA
"151",2025-09-08,6,NA,NA,10.2857142857143,NA,4
"152",2025-09-08,13,NA,NA,NA,8.42857142857143,NA
"153",2025-09-08,197,243.714285714286,NA,NA,NA,NA
"154",2025-09-08,3,NA,3.28571428571429,NA,NA,NA
"155",2025-09-09,14,NA,NA,13.2857142857143,NA,NA
"156",2025-09-09,13,NA,NA,NA,8.14285714285714,NA
"157",2025-09-09,7,NA,NA,NA,NA,3.57142857142857
