name,latitude,longitude,state.facility,address,"Week of Dec 01, 2025","Week of Dec 08, 2025","Week of Dec 15, 2025","Week of Dec 22, 2025","Week of Dec 29, 2025","Week of Jan 05, 2026","Week of Jan 12, 2026","Week of Jan 19, 2026","Week of Jan 26, 2026","Week of Feb 02, 2026","Week of Feb 09, 2026","Week of Feb 16, 2026","Week of Feb 23, 2026","Week of Mar 02, 2026"
South Texas Family Residential Center1,28.65785369,-99.20038782,TX,300 El Rancho Way,0,0,3,3,3,8,15,20,16,16,7,7,6,3
South Texas ICE Processing Center,28.89486166,-99.12126683,TX,566 Veterans Drive,0,0,0,0,0,0,1,38,101,124,87,73,62,53
South Texas/Pearsall Hold Room,NA,NA,TX,NA,0,0,0,0,0,0,0,0,2,1,1,0,0,0
Stewart Detention Center,32.03560799,-84.77150169,GA,146 Cca Road,0,0,0,0,0,0,0,3,0,0,0,0,0,0
T Don Hutto Detention Center,30.56495908,-97.41997489,TX,1001 Welch Street,0,0,0,0,0,0,0,11,11,8,5,3,2,1
Torrance County Detention Facility,34.76767999,-106.018446,NM,209 County Road A049,0,0,0,0,0,31,53,89,88,109,99,86,65,54
Union County Jail,42.68584986,-96.68255716,SD,209 E Main St Suite #250,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Washington Field Office,38.91143006,-77.45867867,VA,14797 Murdock Street,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Winn Correctional Center,31.85046438,-92.78139171,LA,180 Cca Blvd,0,1,5,2,0,1,2,2,4,4,1,1,3,1
Woodbury County Jail,42.52061602,-96.35358368,IA,3701 28th St,26,25,23,19,21,19,15,16,13,13,14,13,13,11
