source,dest,step_from,step_to,count
Camp East Montana,Richwood Correctional Center,3,4,2
Camp East Montana,San Antonio Detention and Removal Operations Hold Room,1,2,1
Camp East Montana,San Antonio Detention and Removal Operations Hold Room,2,3,138
Camp East Montana,South Louisiana ICE Processing Center,3,4,1
Camp East Montana,South Texas ICE Processing Center,2,3,2
Camp East Montana,Stewart Detention Center,2,3,1
Camp East Montana,Torrance County Detention Facility,2,3,14
Camp East Montana,Torrance County Detention Facility,3,4,7
Camp East Montana,Unclear or other outcome,4,5,1
Camp East Montana,Whipple Building,1,2,2
Camp East Montana,Whipple Building,2,3,44
Camp East Montana,Whipple Building,3,4,17
Cass County Jail,Omaha Field Office Hold,2,3,3
Central Louisiana ICE Processing Center,Deported from country,4,5,14
Cibola County Correctional Center,Camp East Montana,3,4,6
Cibola County Correctional Center,Detained as of early March,4,5,7
Cibola County Correctional Center,Released from detention,4,5,3
Cibola County Detention Center,Cibola County Correctional Center,3,4,5
Coastal Bend Detention Center,Detained as of early March,4,5,1
Corecivic Webb County Detention Center,Deported from country,4,5,9
Corecivic Webb County Detention Center,Detained as of early March,4,5,5
Corecivic Webb County Detention Center,Released from detention,4,5,3
Crow Wing County Jail,Detained as of early March,4,5,3
Crow Wing County Jail,Kandiyohi County Jail,2,3,5
Crow Wing County Jail,Released from detention,4,5,1
Crow Wing County Jail,Whipple Building,1,2,5
Crow Wing County Jail,Whipple Building,2,3,28
Crow Wing County Jail,Whipple Building,3,4,3
Dakota County Jail,Omaha Field Office Hold,2,3,1
Deported from country,Brazil,5,6,1
Deported from country,Colombia,5,6,10
Deported from country,Costa Rica,5,6,1
Deported from country,Ecuador,5,6,131
Deported from country,El Salvador,5,6,16
Deported from country,Ethiopia,5,6,1
Deported from country,Guatemala,5,6,34
Deported from country,Honduras,5,6,28
Deported from country,Mexico,5,6,107
Deported from country,"Micronesia, Federated States of",5,6,1
Deported from country,Nicaragua,5,6,19
Deported from country,Nigeria,5,6,1
Deported from country,Spain,5,6,1
Deported from country,Venezuela,5,6,12
Douglas County Jail,Detained as of early March,4,5,1
Douglas County Jail,Released from detention,4,5,1
Douglas County Jail,Sherburne County Jail Services,2,3,1
Douglas County Jail,Whipple Building,2,3,4
El Paso Service Processing Center,Alexandria Staging Facility,3,4,2
El Paso Service Processing Center,Camp East Montana,3,4,1
El Paso Service Processing Center,Central Louisiana ICE Processing Center,3,4,1
El Paso Service Processing Center,Deported from country,4,5,1
El Paso Service Processing Center,Detained as of early March,4,5,5
El Paso Service Processing Center,Released from detention,4,5,1
El Paso Service Processing Center,South Louisiana ICE Processing Center,3,4,1
El Paso Service Processing Center,Washington Field Office,3,4,1
El Paso Service Processing Center,Whipple Building,3,4,3
El Valle Detention Facility,Deported from country,4,5,3
El Valle Detention Facility,Detained as of early March,4,5,1
El Valle Detention Facility,Released from detention,4,5,1
Eloy Detention Center,Deported from country,4,5,1
Eloy Detention Center,Detained as of early March,4,5,2
Florence Service Processing Center,Deported from country,4,5,3
Freeborn County Jail Services,Detained as of early March,4,5,1
Freeborn County Jail Services,Kansas City Hold Room,2,3,2
Freeborn County Jail Services,Port Isabel Service Processing Center,2,3,4
Freeborn County Jail Services,Released from detention,4,5,8
Freeborn County Jail Services,Whipple Building,2,3,67
Grand Forks County Correctional Center,Whipple Building,2,3,1
Grand Forks Hold Room,Grand Forks County Correctional Center,1,2,1
Grayson County Detention Center,Detained as of early March,4,5,1
Grayson County Detention Center,Indianapolis Hold Room,3,4,1
Greene County Jail,Released from detention,4,5,2
Hardin County Jail,Detained as of early March,4,5,1
Harlingen Hold Room,Corecivic Webb County Detention Center,3,4,14
Houston Contract Detention Facility,Deported from country,4,5,1
Houston Contract Detention Facility,Released from detention,4,5,1
Houston Contract Detention Facility,Whipple Building,2,3,1
Houston Contract Detention Facility,Whipple Building,3,4,2
Indianapolis Hold Room,Deported from country,4,5,1
Jackson Parish Correctional Center,Deported from country,4,5,1
Jackson Parish Correctional Center,Detained as of early March,4,5,1
Kandiyohi County Jail,Crow Wing County Jail,2,3,1
Kandiyohi County Jail,Detained as of early March,4,5,3
Kandiyohi County Jail,Port Isabel Service Processing Center,2,3,1
Kandiyohi County Jail,Released from detention,4,5,4
Kandiyohi County Jail,Unclear or other outcome,4,5,2
Kandiyohi County Jail,Whipple Building,1,2,1
Kandiyohi County Jail,Whipple Building,2,3,58
Kandiyohi County Jail,Whipple Building,3,4,6
Kansas City Hold Room,Greene County Jail,3,4,2
Karnes County Residential Center2,Deported from country,4,5,42
Karnes County Residential Center2,Detained as of early March,4,5,15
Karnes County Residential Center2,Karnes County Residential Center2,3,4,1
Karnes County Residential Center2,Released from detention,4,5,3
Karnes County Residential Center2,South Texas ICE Processing Center,3,4,2
Kay County Detention Center,Detained as of early March,4,5,5
Kenton County Detention Center,Detained as of early March,4,5,1
Kenton County Detention Center,Released from detention,4,5,1
LA Salle County Regional Detention Center,Detained as of early March,4,5,2
Left country (other),Venezuela,5,6,1
McCook Detention Center,Detained as of early March,4,5,2
McCook Detention Center,Released from detention,4,5,3
Montgomery Hold Room,Camp East Montana,2,3,10
NW Regional Corrections Center,Kandiyohi County Jail,1,2,1
Oakdale Holding Room,Camp East Montana,2,3,2
Omaha Field Office Hold,Alexandria Staging Facility,3,4,1
Omaha Field Office Hold,Camp East Montana,3,4,5
Omaha Field Office Hold,Central Louisiana ICE Processing Center,3,4,2
Omaha Field Office Hold,Left country (other),4,5,1
Omaha Field Office Hold,McCook Detention Center,3,4,5
Omaha Field Office Hold,Pine Prairie ICE Processing Center,3,4,1
Omaha Field Office Hold,Port Isabel Service Processing Center,3,4,3
Omaha Field Office Hold,Pottawattamie County Jail,3,4,1
Omaha Field Office Hold,Winn Correctional Center,3,4,2
Otero County Processing Center,AZ Removal Operation Coord Center (Arocc),3,4,6
Otero County Processing Center,Deported from country,4,5,1
Otero County Processing Center,Detained as of early March,4,5,8
Otero County Processing Center,El Paso Service Processing Center,3,4,1
Otero County Processing Center,Released from detention,4,5,5
Otero County Processing Center,Richwood Correctional Center,3,4,1
Otero County Processing Center,Whipple Building,3,4,2
Pine Prairie ICE Processing Center,Deported from country,4,5,32
Pine Prairie ICE Processing Center,Detained as of early March,4,5,12
Polk County Jail,Omaha Field Office Hold,2,3,3
Port Isabel Service Processing Center,Camp East Montana,2,3,1
Port Isabel Service Processing Center,Camp East Montana,3,4,3
Port Isabel Service Processing Center,Coastal Bend Detention Center,3,4,1
Port Isabel Service Processing Center,Corecivic Webb County Detention Center,3,4,3
Port Isabel Service Processing Center,Deported from country,4,5,85
Port Isabel Service Processing Center,Detained as of early March,4,5,3
Port Isabel Service Processing Center,El Paso Service Processing Center,3,4,1
Port Isabel Service Processing Center,El Valle Detention Facility,3,4,5
Port Isabel Service Processing Center,Houston Contract Detention Facility,3,4,1
Port Isabel Service Processing Center,Port Isabel Service Processing Center,3,4,3
Port Isabel Service Processing Center,Rio Grande Processing Center,3,4,1
Pottawattamie County Jail,Deported from country,4,5,1
Richwood Correctional Center,Deported from country,4,5,4
Richwood Correctional Center,Detained as of early March,4,5,3
Rio Grande Processing Center,Detained as of early March,4,5,1
San Antonio Detention and Removal Operations Hold Room,Karnes County Residential Center2,3,4,57
San Antonio Detention and Removal Operations Hold Room,South Texas Family Residential Center1,2,3,6
San Antonio Detention and Removal Operations Hold Room,South Texas ICE Processing Center,2,3,1
San Antonio Detention and Removal Operations Hold Room,South Texas ICE Processing Center,3,4,74
San Antonio Detention and Removal Operations Hold Room,T Don Hutto Detention Center,3,4,7
Sherburne County Jail Services,Crow Wing County Jail,2,3,1
Sherburne County Jail Services,Detained as of early March,4,5,9
Sherburne County Jail Services,Omaha Field Office Hold,2,3,4
Sherburne County Jail Services,Port Isabel Service Processing Center,2,3,1
Sherburne County Jail Services,Released from detention,4,5,20
Sherburne County Jail Services,Whipple Building,1,2,3
Sherburne County Jail Services,Whipple Building,2,3,63
Sherburne County Jail Services,Whipple Building,3,4,1
Sioux County Jail,Omaha Field Office Hold,2,3,1
Sioux County Jail,Woodbury County Jail,2,3,1
South Louisiana ICE Processing Center,Deported from country,4,5,4
South Texas Family Residential Center1,Whipple Building,3,4,6
South Texas ICE Processing Center,Deported from country,4,5,43
South Texas ICE Processing Center,Detained as of early March,4,5,33
South Texas ICE Processing Center,LA Salle County Regional Detention Center,3,4,2
South Texas ICE Processing Center,Whipple Building,3,4,1
Stewart Detention Center,Richwood Correctional Center,3,4,1
T Don Hutto Detention Center,Deported from country,4,5,6
T Don Hutto Detention Center,Detained as of early March,4,5,1
Torrance County Detention Facility,Camp East Montana,3,4,13
Torrance County Detention Facility,Detained as of early March,4,5,6
Torrance County Detention Facility,Otero County Processing Center,3,4,1
Torrance County Detention Facility,Released from detention,4,5,1
Washington Field Office,Deported from country,4,5,1
Whipple Building,Alexandria Staging Facility,3,4,6
Whipple Building,Boone County Jail,3,4,5
Whipple Building,Broadview Service Staging,1,2,1
Whipple Building,Broadview Service Staging,2,3,1
Whipple Building,Camp East Montana,1,2,355
Whipple Building,Camp East Montana,2,3,12
Whipple Building,Camp East Montana,3,4,79
Whipple Building,Cass County Jail,1,2,3
Whipple Building,Crow Wing County Jail,1,2,33
Whipple Building,Crow Wing County Jail,3,4,4
Whipple Building,Dakota County Jail,1,2,1
Whipple Building,Deported from country,4,5,1
Whipple Building,Douglas County Jail,1,2,5
Whipple Building,Douglas County Jail,3,4,2
Whipple Building,Freeborn County Jail Services,1,2,73
Whipple Building,Freeborn County Jail Services,3,4,9
Whipple Building,Hardin County Jail,3,4,1
Whipple Building,Houston Contract Detention Facility,1,2,1
Whipple Building,Kandiyohi County Jail,1,2,59
Whipple Building,Kandiyohi County Jail,2,3,1
Whipple Building,Kandiyohi County Jail,3,4,9
Whipple Building,Kay County Detention Center,3,4,5
Whipple Building,Kenton County Detention Center,3,4,2
Whipple Building,Montgomery Hold Room,1,2,10
Whipple Building,Oakdale Holding Room,1,2,2
Whipple Building,Pine Prairie ICE Processing Center,3,4,39
Whipple Building,Polk County Jail,1,2,3
Whipple Building,Port Isabel Service Processing Center,1,2,1
Whipple Building,Port Isabel Service Processing Center,3,4,71
Whipple Building,Released from detention,4,5,41
Whipple Building,San Antonio Detention and Removal Operations Hold Room,1,2,6
Whipple Building,Sherburne County Jail Services,1,2,69
Whipple Building,Sherburne County Jail Services,3,4,29
Whipple Building,Sioux County Jail,1,2,2
Whipple Building,South Louisiana ICE Processing Center,3,4,2
Whipple Building,Unclear or other outcome,4,5,2
Whipple Building,Whipple Building,1,2,3
Whipple Building,Whipple Building,3,4,3
Whipple Building,Woodbury County Jail,1,2,8
Winn Correctional Center,Deported from country,4,5,2
Woodbury County Jail,Omaha Field Office Hold,2,3,8
Woodbury County Jail,Omaha Field Office Hold,3,4,1
