source,dest,step_from,step_to,count
AZ Removal Operation Coord Center (Arocc),Deported from country,4,5,7
AZ Removal Operation Coord Center (Arocc),Eloy Detention Center,3,4,3
Adams County Correctional Center,Alexandria Staging Facility,3,4,4
Adams County Correctional Center,Deported from country,4,5,8
Adams County Correctional Center,Detained as of early March,4,5,1
Alexandria Staging Facility,Adams County Correctional Center,3,4,6
Alexandria Staging Facility,Deported from country,4,5,17
Alexandria Staging Facility,Detained as of early March,4,5,2
Alexandria Staging Facility,Jackson Parish Correctional Center,3,4,1
Alexandria Staging Facility,Pine Prairie ICE Processing Center,3,4,2
Alexandria Staging Facility,Richwood Correctional Center,3,4,3
Boone County Jail,Detained as of early March,4,5,4
Boone County Jail,Released from detention,4,5,1
Broadview Service Staging,Grayson County Detention Center,2,3,1
Broadview Service Staging,Grayson County Detention Center,3,4,1
Camp East Montana,AZ Removal Operation Coord Center (Arocc),2,3,3
Camp East Montana,AZ Removal Operation Coord Center (Arocc),3,4,1
Camp East Montana,Adams County Correctional Center,2,3,4
Camp East Montana,Adams County Correctional Center,3,4,3
Camp East Montana,Alexandria Staging Facility,2,3,12
Camp East Montana,Alexandria Staging Facility,3,4,6
Camp East Montana,Camp East Montana,2,3,75
Camp East Montana,Camp East Montana,3,4,9
Camp East Montana,Central Louisiana ICE Processing Center,3,4,11
Camp East Montana,Cibola County Correctional Center,2,3,6
Camp East Montana,Cibola County Correctional Center,3,4,5
Camp East Montana,Cibola County Detention Center,2,3,5
Camp East Montana,Crow Wing County Jail,2,3,1
Camp East Montana,Deported from country,4,5,89
Camp East Montana,Detained as of early March,4,5,23
Camp East Montana,El Paso Service Processing Center,2,3,9
Camp East Montana,El Paso Service Processing Center,3,4,5
Camp East Montana,Florence Service Processing Center,3,4,3
Camp East Montana,Harlingen Hold Room,2,3,14
Camp East Montana,Houston Contract Detention Facility,2,3,2
Camp East Montana,Houston Contract Detention Facility,3,4,1
Camp East Montana,Jackson Parish Correctional Center,3,4,1
Camp East Montana,Karnes County Residential Center2,2,3,3
Camp East Montana,Karnes County Residential Center2,3,4,2
Camp East Montana,Otero County Processing Center,2,3,10
Camp East Montana,Otero County Processing Center,3,4,13
Camp East Montana,Pine Prairie ICE Processing Center,3,4,2
Camp East Montana,Port Isabel Service Processing Center,2,3,12
Camp East Montana,Port Isabel Service Processing Center,3,4,11
Camp East Montana,Released from detention,4,5,3
