start,end,name,longitude,latitude,address,state.facility,unique_identifier
2026-01-24,2026-01-29,Adams County Correctional Center,-91.221278710000007,31.55764769,20 Hobo Forks Road,MS,e763bad2cd6324e52af1ebb05f7af67d026bf92d
2026-01-11,2026-01-29,Enforcement and Removal Operations El Paso Camp East Montana,-106.2981181,31.811927,6920 Digital Road,TX,e763bad2cd6324e52af1ebb05f7af67d026bf92d
2026-01-11,2026-01-29,Enforcement and Removal Operations El Paso Camp East Montana,-106.2981181,31.811927,6920 Digital Road,TX,e763bad2cd6324e52af1ebb05f7af67d026bf92d
2026-01-10,2026-01-29,Bishop Henry Whipple Federal Building,-93.19490987,44.89410469,"1 Federal Drive, Suite 1640",MN,e763bad2cd6324e52af1ebb05f7af67d026bf92d
