source,dest,step_from,step_to,count
AZ Removal Operation Coord Center (Arocc),Adelanto ICE Processing Center,4,5,2
AZ Removal Operation Coord Center (Arocc),Deported from country,5,6,17
AZ Removal Operation Coord Center (Arocc),Florence Staging Facility,3,4,1
Adams County Correctional Center,Deported from country,5,6,19
Adams County Correctional Center,Detained as of early March,5,6,4
Adams County Correctional Center,Kandiyohi County Jail,3,4,1
Adams County Correctional Center,Whipple Building,4,5,1
Adelanto ICE Processing Center,AZ Removal Operation Coord Center (Arocc),3,4,1
Adelanto ICE Processing Center,Detained as of early March,5,6,2
Alexandria Staging Facility,AZ Removal Operation Coord Center (Arocc),4,5,1
Alexandria Staging Facility,Adams County Correctional Center,4,5,1
Alexandria Staging Facility,Camp East Montana,4,5,2
Alexandria Staging Facility,Deported from country,5,6,39
Alexandria Staging Facility,Detained as of early March,5,6,10
Alexandria Staging Facility,Jackson Parish Correctional Center,4,5,4
Alexandria Staging Facility,Pine Prairie ICE Processing Center,4,5,32
Broadview Service Staging,Grayson County Detention Center,2,3,4
Broadview Service Staging,Grayson County Detention Center,4,5,1
Brooks County Detention Center,Deported from country,5,6,1
Camp East Montana,AZ Removal Operation Coord Center (Arocc),2,3,1
Camp East Montana,AZ Removal Operation Coord Center (Arocc),4,5,10
Camp East Montana,Adams County Correctional Center,2,3,1
Camp East Montana,Adams County Correctional Center,3,4,1
Camp East Montana,Adams County Correctional Center,4,5,18
Camp East Montana,Alexandria Staging Facility,3,4,2
Camp East Montana,Alexandria Staging Facility,4,5,29
Camp East Montana,Camp East Montana,1,2,1
Camp East Montana,Camp East Montana,2,3,29
Camp East Montana,Camp East Montana,3,4,3
Camp East Montana,Camp East Montana,4,5,9
Camp East Montana,Central Louisiana ICE Processing Center,4,5,14
Camp East Montana,Cibola County Correctional Center,2,3,16
Camp East Montana,Cibola County Correctional Center,3,4,3
Camp East Montana,Cibola County Detention Center,2,3,1
Camp East Montana,Deported from country,5,6,19
