source,dest,step_from,step_to,count
Camp East Montana,Detained as of early March,5,6,5
Camp East Montana,El Paso Service Processing Center,2,3,3
Camp East Montana,El Paso Service Processing Center,4,5,1
Camp East Montana,Florence Service Processing Center,4,5,3
Camp East Montana,Harlingen Hold Room,2,3,4
Camp East Montana,Jackson Parish Correctional Center,4,5,2
Camp East Montana,Kandiyohi County Jail,3,4,1
Camp East Montana,Kansas City Hold Room,3,4,1
Camp East Montana,Karnes County Residential Center2,2,3,1
Camp East Montana,Karnes County Residential Center2,4,5,1
Camp East Montana,Otero County Processing Center,2,3,17
Camp East Montana,Otero County Processing Center,3,4,1
Camp East Montana,Otero County Processing Center,4,5,1
Camp East Montana,Port Isabel Service Processing Center,2,3,9
Camp East Montana,Port Isabel Service Processing Center,3,4,2
Camp East Montana,Port Isabel Service Processing Center,4,5,40
Camp East Montana,Released from detention,5,6,1
Camp East Montana,Richwood Correctional Center,4,5,7
Camp East Montana,River Correctional Center,4,5,6
Camp East Montana,San Antonio Detention and Removal Operations Hold Room,2,3,11
Camp East Montana,San Antonio Detention and Removal Operations Hold Room,3,4,18
Camp East Montana,South Texas ICE Processing Center,2,3,2
Camp East Montana,South Texas ICE Processing Center,3,4,1
Camp East Montana,South Texas/Pearsall Hold Room,2,3,1
Camp East Montana,Stewart Detention Center,3,4,1
Camp East Montana,Torrance County Detention Facility,2,3,38
Camp East Montana,Torrance County Detention Facility,3,4,1
Camp East Montana,Torrance County Detention Facility,4,5,1
Camp East Montana,Unclear or other outcome,5,6,1
Camp East Montana,Whipple Building,2,3,108
Camp East Montana,Whipple Building,3,4,3
Camp East Montana,Whipple Building,4,5,5
Cass County Jail,McCook Detention Center,2,3,1
Cass County Jail,Omaha Field Office Hold,2,3,1
Central Louisiana ICE Processing Center,Deported from country,5,6,19
Chase County Jail,Released from detention,5,6,1
Cibola County Correctional Center,Camp East Montana,3,4,16
Cibola County Correctional Center,Camp East Montana,4,5,1
Cibola County Correctional Center,Cibola County Correctional Center,4,5,2
Cibola County Correctional Center,Detained as of early March,5,6,2
Cibola County Correctional Center,El Paso Service Processing Center,4,5,1
Cibola County Detention Center,Cibola County Correctional Center,3,4,1
Coastal Bend Detention Center,Deported from country,5,6,2
Coastal Bend Detention Center,El Valle Detention Facility,4,5,1
Coastal Bend Detention Center,Port Isabel Service Processing Center,4,5,1
Corecivic Webb County Detention Center,AZ Removal Operation Coord Center (Arocc),4,5,3
Corecivic Webb County Detention Center,Corecivic Webb County Detention Center,4,5,1
Corecivic Webb County Detention Center,Deported from country,5,6,3
Corecivic Webb County Detention Center,Detained as of early March,5,6,3
Corecivic Webb County Detention Center,Whipple Building,4,5,1
Crow Wing County Jail,El Paso County Detention Facility,2,3,1
Crow Wing County Jail,Freeborn County Jail Services,2,3,1
Crow Wing County Jail,Kandiyohi County Jail,2,3,4
Crow Wing County Jail,Kandiyohi County Jail,4,5,1
Crow Wing County Jail,Sherburne County Jail Services,2,3,2
Crow Wing County Jail,Whipple Building,1,2,1
Crow Wing County Jail,Whipple Building,2,3,24
Crow Wing County Jail,Whipple Building,4,5,14
Dakota County Jail,Detained as of early March,5,6,1
Dakota County Jail,Omaha Field Office Hold,3,4,4
Deported from country,"China, Peoples Republic of",6,7,1
Deported from country,Colombia,6,7,9
Deported from country,Dominican Republic,6,7,5
Deported from country,Ecuador,6,7,114
Deported from country,El Salvador,6,7,13
Deported from country,Guatemala,6,7,22
Deported from country,Honduras,6,7,14
Deported from country,Jamaica,6,7,1
Deported from country,Liberia,6,7,1
Deported from country,Mexico,6,7,19
Deported from country,Nicaragua,6,7,20
Deported from country,Peru,6,7,1
Deported from country,Venezuela,6,7,17
Douglas County Jail,Whipple Building,2,3,8
Douglas County Jail,Whipple Building,4,5,1
El Paso County Detention Facility,AZ Removal Operation Coord Center (Arocc),3,4,1
El Paso County Detention Facility,Camp East Montana,4,5,1
El Paso Service Processing Center,Alexandria Staging Facility,4,5,6
El Paso Service Processing Center,Camp East Montana,3,4,2
El Paso Service Processing Center,Deported from country,5,6,2
El Paso Service Processing Center,Whipple Building,3,4,1
El Valle Detention Facility,Deported from country,5,6,5
Enforcement and Removal Operations Hold Room (Springfield MO),Deported from country,5,6,1
Florence Service Processing Center,Deported from country,5,6,4
Florence Staging Facility,Florence Service Processing Center,4,5,1
Freeborn County Jail Services,Camp East Montana,4,5,1
Freeborn County Jail Services,Kansas City Hold Room,2,3,2
Freeborn County Jail Services,Port Isabel Service Processing Center,2,3,1
Freeborn County Jail Services,Port Isabel Service Processing Center,4,5,3
Freeborn County Jail Services,Whipple Building,2,3,38
Freeborn County Jail Services,Whipple Building,3,4,2
Freeborn County Jail Services,Whipple Building,4,5,35
Grand Forks Hold Room,NW Regional Corrections Center,1,2,1
Grayson County Detention Center,Indianapolis Hold Room,3,4,4
Grayson County Detention Center,Released from detention,5,6,1
Greene County Jail,Camp East Montana,4,5,1
Greene County Jail,Detained as of early March,5,6,1
Greene County Jail,Enforcement and Removal Operations Hold Room (Springfield MO),4,5,1
Greene County Jail,Released from detention,5,6,2
Harlingen Hold Room,Corecivic Webb County Detention Center,3,4,4
Indianapolis Hold Room,Deported from country,5,6,1
Indianapolis Hold Room,Richwood Correctional Center,4,5,2
Indianapolis Hold Room,South Louisiana ICE Processing Center,4,5,2
Jackson Parish Correctional Center,Deported from country,5,6,8
Kandiyohi County Jail,Camp East Montana,2,3,1
Kandiyohi County Jail,Detained as of early March,5,6,1
Kandiyohi County Jail,Released from detention,5,6,2
Kandiyohi County Jail,Whipple Building,1,2,1
Kandiyohi County Jail,Whipple Building,2,3,42
Kandiyohi County Jail,Whipple Building,3,4,5
Kandiyohi County Jail,Whipple Building,4,5,17
Kansas City Hold Room,Chase County Jail,4,5,1
Kansas City Hold Room,Greene County Jail,3,4,2
Kansas City Hold Room,Greene County Jail,4,5,3
Kansas City Hold Room,Whipple Building,4,5,1
Karnes County Residential Center2,Camp East Montana,3,4,1
Karnes County Residential Center2,Deported from country,5,6,8
Karnes County Residential Center2,Detained as of early March,5,6,3
Karnes County Residential Center2,Karnes County Residential Center2,4,5,1
Karnes County Residential Center2,South Texas ICE Processing Center,4,5,1
Karnes County Residential Center2,Whipple Building,4,5,1
Kenton County Detention Center,Indianapolis Hold Room,4,5,1
LA Salle County Regional Detention Center,Detained as of early March,5,6,2
LA Salle County Regional Detention Center,Karnes County Residential Center2,4,5,1
LA Salle County Regional Detention Center,Released from detention,5,6,1
LA Salle County Regional Detention Center,South Texas ICE Processing Center,4,5,1
Left country (other),El Salvador,6,7,1
McAllen Hold Room,Corecivic Webb County Detention Center,4,5,5
McCook Detention Center,Detained as of early March,5,6,1
McCook Detention Center,Omaha Field Office Hold,3,4,1
McCook Detention Center,Released from detention,5,6,1
Minnehaha County Jail,Kandiyohi County Jail,1,2,1
Minnehaha County Jail,Kandiyohi County Jail,2,3,1
Montgomery Hold Room,Camp East Montana,2,3,3
Montgomery Hold Room,Camp East Montana,4,5,1
NW Regional Corrections Center,Whipple Building,2,3,1
Omaha Field Office Hold,Alexandria Staging Facility,3,4,2
Omaha Field Office Hold,Alexandria Staging Facility,4,5,3
Omaha Field Office Hold,Camp East Montana,3,4,3
Omaha Field Office Hold,Central Louisiana ICE Processing Center,4,5,1
Omaha Field Office Hold,Pine Prairie ICE Processing Center,4,5,1
Omaha Field Office Hold,Port Isabel Service Processing Center,3,4,2
Omaha Field Office Hold,Port Isabel Service Processing Center,4,5,2
Omaha Field Office Hold,Sarpy County Department of Corrections,3,4,2
Omaha Field Office Hold,South Louisiana ICE Processing Center,4,5,1
Omaha Field Office Hold,Woodbury County Jail,3,4,1
Otero County Processing Center,Alexandria Staging Facility,4,5,1
Otero County Processing Center,Camp East Montana,3,4,17
Otero County Processing Center,Released from detention,5,6,1
Pine Prairie ICE Processing Center,AZ Removal Operation Coord Center (Arocc),4,5,2
Pine Prairie ICE Processing Center,Alexandria Staging Facility,4,5,3
Pine Prairie ICE Processing Center,Deported from country,5,6,23
Pine Prairie ICE Processing Center,Detained as of early March,5,6,13
Pine Prairie ICE Processing Center,Released from detention,5,6,1
Polk County Jail,Omaha Field Office Hold,2,3,3
Port Isabel Service Processing Center,AZ Removal Operation Coord Center (Arocc),4,5,1
Port Isabel Service Processing Center,Adams County Correctional Center,4,5,4
Port Isabel Service Processing Center,Alexandria Staging Facility,3,4,2
Port Isabel Service Processing Center,Alexandria Staging Facility,4,5,7
Port Isabel Service Processing Center,Brooks County Detention Center,4,5,1
Port Isabel Service Processing Center,Central Louisiana ICE Processing Center,4,5,4
Port Isabel Service Processing Center,Coastal Bend Detention Center,3,4,2
Port Isabel Service Processing Center,Coastal Bend Detention Center,4,5,2
Port Isabel Service Processing Center,Corecivic Webb County Detention Center,3,4,1
Port Isabel Service Processing Center,Deported from country,5,6,52
Port Isabel Service Processing Center,Detained as of early March,5,6,1
Port Isabel Service Processing Center,El Valle Detention Facility,4,5,4
Port Isabel Service Processing Center,Jackson Parish Correctional Center,4,5,2
Port Isabel Service Processing Center,McAllen Hold Room,3,4,5
Port Isabel Service Processing Center,Pine Prairie ICE Processing Center,4,5,3
Port Isabel Service Processing Center,Port Isabel Service Processing Center,3,4,1
Port Isabel Service Processing Center,Port Isabel Service Processing Center,4,5,3
Port Isabel Service Processing Center,Richwood Correctional Center,4,5,1
Port Isabel Service Processing Center,South Louisiana ICE Processing Center,4,5,1
Port Isabel Service Processing Center,Winn Correctional Center,4,5,1
"Ramsey Adult Detention Center Annex, Spm",Whipple Building,1,2,1
Richwood Correctional Center,Deported from country,5,6,11
River Correctional Center,Deported from country,5,6,5
River Correctional Center,Detained as of early March,5,6,1
San Antonio Detention and Removal Operations Hold Room,Karnes County Residential Center2,3,4,3
San Antonio Detention and Removal Operations Hold Room,Karnes County Residential Center2,4,5,8
San Antonio Detention and Removal Operations Hold Room,San Antonio Detention and Removal Operations Hold Room,3,4,2
San Antonio Detention and Removal Operations Hold Room,South Texas Family Residential Center1,4,5,1
San Antonio Detention and Removal Operations Hold Room,South Texas ICE Processing Center,3,4,6
San Antonio Detention and Removal Operations Hold Room,South Texas ICE Processing Center,4,5,12
San Antonio Detention and Removal Operations Hold Room,T Don Hutto Detention Center,4,5,1
Sarpy County Department of Corrections,McCook Detention Center,4,5,2
Sherburne County Jail Services,Adelanto ICE Processing Center,2,3,1
Sherburne County Jail Services,Camp East Montana,3,4,1
Sherburne County Jail Services,Omaha Field Office Hold,2,3,2
Sherburne County Jail Services,Port Isabel Service Processing Center,2,3,1
Sherburne County Jail Services,Released from detention,5,6,2
Sherburne County Jail Services,Whipple Building,1,2,4
Sherburne County Jail Services,Whipple Building,2,3,42
Sherburne County Jail Services,Whipple Building,3,4,4
Sherburne County Jail Services,Whipple Building,4,5,41
Sioux County Jail,Dakota County Jail,2,3,3
Sioux County Jail,Omaha Field Office Hold,2,3,1
Sioux County Jail,Woodbury County Jail,2,3,3
Sioux Falls Hold Room,Minnehaha County Jail,1,2,1
South Louisiana ICE Processing Center,Camp East Montana,4,5,1
South Louisiana ICE Processing Center,Deported from country,5,6,4
South Louisiana ICE Processing Center,Port Isabel Service Processing Center,4,5,2
South Texas Family Residential Center1,Deported from country,5,6,1
South Texas ICE Processing Center,Deported from country,5,6,6
South Texas ICE Processing Center,Detained as of early March,5,6,7
South Texas ICE Processing Center,LA Salle County Regional Detention Center,3,4,2
South Texas ICE Processing Center,LA Salle County Regional Detention Center,4,5,3
South Texas ICE Processing Center,Released from detention,5,6,1
South Texas ICE Processing Center,Whipple Building,4,5,4
South Texas/Pearsall Hold Room,San Antonio Detention and Removal Operations Hold Room,3,4,1
Stewart Detention Center,Richwood Correctional Center,4,5,1
T Don Hutto Detention Center,Deported from country,5,6,1
Torrance County Detention Facility,Camp East Montana,3,4,38
Torrance County Detention Facility,Camp East Montana,4,5,1
Torrance County Detention Facility,Detained as of early March,5,6,1
Union County Jail,Dakota County Jail,2,3,1
Whipple Building,Alexandria Staging Facility,3,4,34
Whipple Building,Broadview Service Staging,1,2,4
Whipple Building,Broadview Service Staging,3,4,1
Whipple Building,Camp East Montana,1,2,241
Whipple Building,Camp East Montana,2,3,5
Whipple Building,Camp East Montana,3,4,66
Whipple Building,Camp East Montana,4,5,8
Whipple Building,Cass County Jail,1,2,2
Whipple Building,Crow Wing County Jail,1,2,32
Whipple Building,Crow Wing County Jail,3,4,15
Whipple Building,Douglas County Jail,1,2,8
Whipple Building,Douglas County Jail,3,4,1
Whipple Building,El Paso County Detention Facility,3,4,1
Whipple Building,El Paso Service Processing Center,3,4,6
Whipple Building,Freeborn County Jail Services,1,2,41
Whipple Building,Freeborn County Jail Services,2,3,1
Whipple Building,Freeborn County Jail Services,3,4,39
Whipple Building,Kandiyohi County Jail,1,2,42
Whipple Building,Kandiyohi County Jail,3,4,15
Whipple Building,Kandiyohi County Jail,4,5,2
Whipple Building,Kansas City Hold Room,3,4,4
Whipple Building,Kenton County Detention Center,3,4,1
Whipple Building,Left country (other),5,6,1
Whipple Building,Montgomery Hold Room,1,2,3
Whipple Building,Montgomery Hold Room,3,4,1
Whipple Building,Pine Prairie ICE Processing Center,3,4,5
Whipple Building,Pine Prairie ICE Processing Center,4,5,1
Whipple Building,Polk County Jail,1,2,3
Whipple Building,Port Isabel Service Processing Center,3,4,29
Whipple Building,Port Isabel Service Processing Center,4,5,2
Whipple Building,Released from detention,5,6,110
Whipple Building,San Antonio Detention and Removal Operations Hold Room,3,4,1
Whipple Building,Sherburne County Jail Services,1,2,46
Whipple Building,Sherburne County Jail Services,2,3,3
Whipple Building,Sherburne County Jail Services,3,4,41
Whipple Building,Sherburne County Jail Services,4,5,2
Whipple Building,Sioux County Jail,1,2,7
Whipple Building,South Louisiana ICE Processing Center,3,4,3
Whipple Building,Unclear or other outcome,5,6,10
Whipple Building,Union County Jail,1,2,1
Whipple Building,Whipple Building,1,2,2
Whipple Building,Woodbury County Jail,1,2,3
Winn Correctional Center,Deported from country,5,6,1
Woodbury County Jail,Dakota County Jail,4,5,1
Woodbury County Jail,Omaha Field Office Hold,2,3,3
Woodbury County Jail,Omaha Field Office Hold,3,4,3
